Year,Date,Site,Direct Flight (m),M/F,
2018,7/29/2018,BGE,3,,
2018,7/18/2018,Stensland,5,,
2018,7/21/2018,BGE,5,,
2018,7/29/2018,BGE,5,,
2018,7/8/2018,BGE,10,,
2018,7/21/2018,BGE,10,,
2018,7/21/2018,BGE,10,,
2018,7/21/2018,BGE,10,,
2018,7/24/2018,Stensland,10,,
2018,7/29/2018,BGE,10,Male,
2018,7/29/2018,BGE,10,,
2017,,,15,Male,
2018,7/31/2018,Stensland,17,,
2018,7/18/2018,Stensland,20,Female,
2018,7/21/2018,BGE,20,Female,
2018,7/29/2018,BGE,20,,
2018,7/29/2018,BGE,20,,
2018,7/18/2018,Stensland,25,Male,
2018,7/21/2018,BGE,25,,
2018,7/21/2018,BGE,25,,
2017,,,25,Male,
2017,,,25,,
2017,,,25,,
2017,,,25,,
2017,,,25,,
2017,,,25,,
2017,,,25,,
2017,,,25,,
2017,,,25,,
2017,,,25,Male,
2018,7/24/2018,Stensland,27,,
2018,7/29/2018,BGE,30,,
2018,7/29/2018,BGE,30,,
2018,7/21/2018,BGE,47,Male,
2018,7/22/2018,BGE,50,,
2018,7/31/2018,Stensland,50,,
2017,,,50,Female,flew over clover to get to blazing star
2017,,,50,Male,
2017,,,50,Male,
2017,,,50,Male,
2017,,,50,,
2018,7/24/2018,Stensland,65,Female,
2018,7/31/2018,Stensland,65,,
2018,7/24/2018,Stensland,70,,
2018,7/31/2018,Stensland,75,,
2018,7/31/2018,Stensland,75,,
2018,7/31/2018,Stensland,90,,
2017,,,100,,
2018,7/31/2018,Stensland,125,,
