monarchrunid,resourcebearing
17100a,267.8324693
17100b,267.4219313
17100c,267.4219313
17100d,267.4219313
17101a,267.8324693
17102a,92.5180772
17103a,267.8324693
17106a,83.62146622
17106b,83.62146622
17106c,83.62146622
17106d,83.62146622
17106e,86.57563387
17106f,86.57563387
17109a,86.57563387
17110a,267.4219313
17110b,180
17111a,88.50394308
17111b,88.50394308
17111c,267.4219313
17113a,267.2586494
17113b,267.2586494
17113c,88.75463573
17113d,88.75463573
17115a,90.80953526
17115b,90.80953526
17123a,268.5535602
17127a,181.4510906
17127b,181.4510906
17127c,181.4510906
17134a,180
17135a,180
17135b,180
17137a,3.779475029
17137b,3.779475029
17137c,3.779475029
17139a,1.973352783
17139b,1.973352783
17142a,359.6846136
17144a,180.2349378
17144b,180.2349378
17145a,359.6846136
17146a,180
17146b,180
17149a,3.779475029
17150a,359.9768782
17151a,50.95206498
17153a,50.95206498
17154a,50.73382516
17159a,50.95206498
17159b,50.95206498
17160a,50.95206498
17161a,50.95206498
17164a,50.63159121
17166a,50.95206498
17171a,88.23421539
17172a,88.23421539
17176a,50.95206498
17177a,88.23421539
17179a,88.23421539
17179b,88.23421539
17181a,88.23421539
17182a,88.23421539
17184a,231.5579701
17186a,352.6796781
17186b,352.6796781
17186c,352.6796781
17196a,352.6796781
17202a,352.6796781
17202b,352.6796781
17202c,352.6796781
17202d,352.6796781
17202e,358.3286389
17202f,358.3286389
17204a,352.6796781
17204b,352.6796781
17205a,243.5992766
17212a,243.5992766
17213a,254.9875651
17214a,243.5992766
17215a,243.5992766
17216a,243.5992766
17217a,243.5992766
17218a,243.5992766
17219a,243.5992766
17230a,243.5992766
17234a,59.72548276
17235a,59.72548276
17237a,59.72548276
17244a,128.5917408
17246a,59.72548276
17247a,59.72548276
17248a,128.5917408
17251a,59.72548276
17253a,128.5917408
17254a,128.5917408
17261a,128.5917408
17262a,128.5917408
17283a,137.5273969
17284a,137.5273969
17285a,137.5273969
17291a,137.5273969
18037a,3.718395914
18040a,3.718395914
18078a,3.718395914
18081a,3.718395914
18082a,0
18084a,0
18085a,0
18075a,229.8802777
18086a,229.8802777
18087a,229.8802777
18090a,125.3923579
18091a,125.3923579
18093a,125.3923579
18087b,187.8917024
18090b,187.8917024
18091b,186.9532323
18093b,186.9532323
18094a,187.525244
18095a,187.571758
18096a,187.8917024
18097a,187.525244
18098a,187.571758
18099a,186.9532323
18106a,141.9332574
18100a,141.9332574
18105a,141.9332574
18111a,141.9332574
18118a,141.9332574
18111b,141.9332574
18111c,141.9332574
18113a,177.5949907
18119a,177.5949907
18105b,177.5949907
18121a,177.5949907
18106b,177.5949907
18122a,177.5949907
18123a,177.5949907
18113b,177.5949907
18124a,185.0665843
18131a,185.0665843
18142a,185.0665843
18128a,185.0665843
18126a,185.0665843
18144a,185.0665843
18133a,185.0665843
18127a,187.0035921
18140a,187.0035921
18141a,187.0035921
18125a,187.0035921
18129a,187.0035921
18138a,187.0035921
18139a,187.0035921
18137a,187.0035921
18134a,359.774516
18135a,359.774516
18145a,359.774516
18146a,359.774516
18143a,359.774516
18150a,359.774516
18147a,359.774516
18148a,359.774516
18149a,359.774516
18147b,359.6459744
18152a,359.6459744
18152b,359.6459744
18153a,359.6459744
18154a,359.6459744
18159a,359.6459744
18172a,5.516487015
18171a,5.516487015
18170a,5.516487015
18169a,5.516487015
18168a,5.516487015
18167a,5.516487015
18166a,5.516487015
18165a,5.516487015
18164a,5.516487015
18163a,5.516487015
18162a,5.516487015
18161a,5.516487015
18173a,321.3154603
18174a,321.3154603
18175a,321.3154603
18176a,321.3154603
18177a,321.3154603
18178a,321.3154603
18179a,321.3154603
18180a,321.3154603
18181a,321.3154603
18190a,57.51132349
18191a,57.51132349
18192a,57.51132349
18193a,57.51132349
18194a,57.51132349
18195a,57.51132349
18196a,57.51132349
18197a,57.51132349
18198a,57.51132349
18199a,57.51132349
18200a,57.51132349
18201a,57.51132349
18203a,334.5165207
18204a,334.5165207
18205a,334.5165207
18206a,334.5165207
18207a,334.5165207
18208a,334.5165207
18209a,334.5165207
18210a,334.5165207
18211a,334.5165207
18212a,334.5165207
